[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.42.73.26:443 | Proto: TCP | Len: 491
[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 20.42.73.26 → 192.168.100.2:8955 | Proto: TCP | Len: 1466
[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 20.42.73.26 → 192.168.100.2:8955 | Proto: TCP | Len: 1466
[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 20.42.73.26 → 192.168.100.2:8955 | Proto: TCP | Len: 1466
[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 20.42.73.26 → 192.168.100.2:8955 | Proto: TCP | Len: 353
[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.42.73.26:443 | Proto: TCP | Len: 1466
[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 192.168.100.2 → 20.42.73.26:443 | Proto: TCP | Len: 671
[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 20.42.73.26 → 192.168.100.2:8955 | Proto: TCP | Len: 519
[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 192.168.100.2 → 162.159.61.3:443 | Proto: UDP | Len: 1292
[2025-04-01 18:19:08] 🚨 ANOMALY DETECTED! 192.168.100.2 → 162.159.61.3:443 | Proto: UDP | Len: 1292
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 162.159.61.3 → 192.168.100.2:61848 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 162.159.61.3 → 192.168.100.2:61848 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 162.159.61.3 → 192.168.100.2:61848 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 162.159.61.3 → 192.168.100.2:61848 | Proto: UDP | Len: 662
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 192.168.100.2 → 162.159.61.3:443 | Proto: UDP | Len: 1292
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 162.159.61.3 → 192.168.100.2:61848 | Proto: UDP | Len: 626
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 192.168.100.2 → 172.64.152.29:443 | Proto: UDP | Len: 1292
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 192.168.100.2 → 172.64.152.29:443 | Proto: UDP | Len: 1292
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 192.168.100.2 → 172.64.152.29:443 | Proto: UDP | Len: 1292
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 192.168.100.2 → 172.64.152.29:443 | Proto: UDP | Len: 661
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 528
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 341
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
[2025-04-01 18:19:09] 🚨 ANOMALY DETECTED! 172.64.152.29 → 192.168.100.2:63522 | Proto: UDP | Len: 1242
